Duration,processBuffer,processMap,processCloud
1568115234.946440587,1.9676,,
1568115235.617670854,,,2.26109
1568115235.620695581,2.27191,,
1568115236.382558297,,,2.57278
1568115236.385584307,2.58298,,
1568115237.373766814,,,3.3322
1568115237.376787649,3.33945,,
1568115238.096327593,,,2.42134
1568115238.096327593,2.43162,,
1568115238.749931083,,,2.1938
1568115238.752950322,2.20064,,
1568115239.321053722,,,1.90812
1568115239.321053722,1.91376,,
1568115239.900586628,,,1.94804
1568115239.903605807,1.95338,,
1568115240.388580382,,,1.63816
1568115240.391623607,1.65109,,
1568115240.867189281,,,1.59337
1568115240.870208856,1.60191,,
1568115241.425252470,,,1.86237
1568115241.425252470,1.87252,,
1568115242.029805916,,,2.02872
1568115242.032828202,2.03915,,
1568115242.927156901,,,3.01121
1568115242.927156901,3.023,,
1568115243.733285196,,,2.70423
1568115243.733285196,2.71199,,
1568115244.471826701,,,2.48642
1568115244.471826701,2.49432,,
1568115245.360889646,,,2.9943
1568115245.360889646,3.00278,,
1568115246.140874097,,,2.62239
1568115246.143896022,2.6335,,
1568115246.938831912,,,2.68988
1568115246.941853264,2.69971,,
1568115247.775563425,,,2.8013
1568115247.775563425,2.81269,,
1568115249.304118806,,,5.17581
1568115249.307139862,5.18908,,
1568115250.535439051,,,4.15225
1568115250.538460148,4.16572,,
1568115251.424345876,,,2.98114
1568115251.427375396,2.99492,,
1568115252.181898783,,,2.54003
1568115252.184925074,2.5502,,
1568115252.899267555,,,2.4044
1568115252.902286498,2.41394,,
1568115253.414389848,,,1.71861
1568115253.414389848,1.72607,,
1568115253.961168042,,,1.82985
1568115253.961168042,1.83613,,
1568115254.460017783,,,1.67639
1568115254.463039108,1.68169,,
1568115254.951965047,,,1.64217
1568115254.951965047,1.64875,,
1568115255.033526408,,,1.441
1568115255.033526408,1.44473,,
