plane_id,count,aa_angle,aa_x,aa_y,aa_z,quat_x,quat_y,quat_z,quat_w,translation_x,translation_y,translation_z,score
63,0,0.0111514,0.0243245,0.974693,-0.222219,0.000135625,0.00543456,-0.00123902,0.999984,-0.00400538,0.0153548,1.6863,0.0095474
61,0,0.34845,-0.0126185,0.037559,0.999215,-0.00218735,0.00651068,0.173209,0.984861,-0.753622,-0.278245,1.5625,0.65241
60,0,0.00252024,-0.987064,0.0246332,0.158425,-0.00124382,3.10409e-05,0.000199634,0.999999,0.0426067,-0.00924887,1.71225,0.0128912
35,0,0.0126724,-0.0202058,-0.97244,0.232276,-0.000128027,-0.00616155,0.00147174,0.99998,0.0488275,-0.698442,-0.0879626,0.0488991
61,0,0.347573,-0.0109268,0.0325237,0.999411,-0.00188938,0.00562377,0.172811,0.984937,-0.749871,-0.318397,1.58628,0.649314
63,0,0.00848591,0.0243674,0.976412,-0.214534,0.00010339,0.00414286,-0.000910257,0.999991,0.00642353,0.0426786,1.53806,0.00889084
67,0,0.00941651,0.0233654,0.942999,0.331975,0.00011001,0.00443986,0.00156302,0.999989,0.0139966,0.0638356,0.766194,0.0115042
56,0,0.0249126,0.535395,-0.0133614,0.844496,0.00666886,-0.000166429,0.010519,0.999922,-0.0255889,-0.0140453,1.26444,0.0211422
60,0,0.00449607,-0.978469,0.0244187,0.204944,-0.00219963,5.48941e-05,0.000460722,0.999997,0.0305003,0.00792448,1.72254,0.00399251
59,0,0.00831412,0.0241986,0.969646,0.243312,0.000100595,0.00403086,0.00101146,0.999991,0.10019,-0.03982,1.68418,0.101656
57,0,0.0168624,-0.00213866,-0.0856991,-0.996319,-1.80312e-05,-0.000722537,-0.00840006,0.999964,-0.00813813,0.352003,1.32237,0.0180387
55,0,0.0131246,0.0136098,0.545349,-0.838098,8.93109e-05,0.00357871,-0.00549979,0.999978,-0.0239347,-0.111902,1.21298,0.018873
69,0,0.0136339,0.0186095,0.904557,0.425947,0.000126859,0.00616626,0.00290363,0.999977,0.0529056,-0.616732,0.406498,0.0651593
0,0,0.0104316,-0.427951,0.903802,2.4413e-08,-0.00223209,0.00471402,1.27332e-10,0.999986,-5.45808,9.94474,0.00305037,0.00850052
35,0,0.0456618,-0.0207705,-0.999622,-0.0180071,-0.000474169,-0.0228203,-0.000411083,0.999739,0.168859,5.93164,1.44463,0.034932
61,0,0.347547,-0.0104883,0.0312185,0.999458,-0.00181343,0.00539769,0.172806,0.984939,-0.752614,-0.281311,1.58078,0.664932
63,0,0.00899906,0.0225996,0.905574,-0.423586,0.000101687,0.00407464,-0.00190593,0.99999,0.00980001,0.0144261,1.49279,0.00886955
67,0,0.00933718,0.0221943,0.898384,0.438649,0.000103616,0.00419417,0.00204786,0.999989,0.0263916,0.0954628,0.882977,0.014058
56,0,0.109816,0.1837,-0.00458448,0.982972,0.0100815,-0.000251598,0.0539458,0.998493,0.0147432,-0.0482364,1.13081,0.028672
60,0,0.00578715,-0.662293,0.0165283,-0.749062,-0.00191639,4.78258e-05,-0.00216746,0.999996,0.0486866,0.000855788,1.63711,0.00347521
59,0,0.00787437,0.0244057,0.977946,0.207428,9.60895e-05,0.00385034,0.00081668,0.999992,0.101808,-0.0300444,1.68831,0.101631
57,0,0.0202259,-0.00468116,-0.187578,-0.982238,-4.73396e-05,-0.00189694,-0.00993317,0.999949,-0.00281281,0.263362,1.27198,0.0187557
55,0,0.0141249,0.0131295,0.526103,-0.85032,9.27256e-05,0.00371554,-0.00600528,0.999975,-0.0259608,-0.114261,1.18412,0.020503
69,0,0.0121302,0.0192234,0.934392,0.355727,0.000116591,0.00566716,0.00215751,0.999982,0.0532578,-0.61199,0.367139,0.0666706
0,0,0.010485,-0.477255,0.878765,2.00316e-08,-0.00250201,0.00460692,1.05015e-10,0.999986,-5.41605,10.052,0.00118443,0.00885932
35,0,0.279479,0.0207702,0.999607,0.0188002,0.00289298,0.13923,0.00261859,0.990252,0.174132,5.44311,1.99886,0.0220759
61,0,0.348482,-0.013687,0.0407395,0.999076,-0.00237278,0.00706262,0.173201,0.984858,-0.760332,-0.238345,1.58679,0.656884
63,0,0.0113167,0.0240998,0.965689,-0.258581,0.000136365,0.0054642,-0.00146314,0.999984,-0.00408334,0.0104592,1.50964,0.00970279
67,0,0.0127294,0.0229286,0.926441,0.375742,0.000145932,0.00589646,0.00239146,0.99998,0.0209332,0.0994453,0.694272,0.0127924
56,0,0.035451,0.307744,-0.00768015,0.951438,0.00545464,-0.000136127,0.0168638,0.999843,-0.0298106,-0.0237668,1.14292,0.0288205
60,0,0.0036024,-0.901318,0.0224934,-0.432573,-0.00162345,4.05151e-05,-0.000779151,0.999998,0.0378845,0.00139753,1.79681,0.00310544
59,0,0.0108299,0.0243945,0.977498,0.209531,0.000132095,0.00529309,0.0011346,0.999985,0.0945672,-0.0371003,1.69459,0.096607
57,0,0.0178451,0.00823022,0.329786,-0.94402,7.34336e-05,0.00294249,-0.00842295,0.99996,-0.0123686,0.1874,1.35802,0.0212516
