Duration,noOfRecPlanes,noOfAssocPlanes
1568115250.303489621,44,16
1568115250.805677099,43,17
1568115251.325053457,41,16
1568115251.787939108,44,18
1568115252.215174884,42,15
1568115252.620837190,41,16
1568115253.062447591,42,16
1568115253.499060213,41,15
1568115253.988755840,40,15
1568115254.651015325,41,13
1568115255.312391770,40,14
1568115255.854667209,47,14
1568115256.426393422,41,13
1568115256.917666116,40,13
1568115257.342350375,40,14
1568115257.769803265,36,12
1568115258.120814387,36,12
1568115258.484342737,38,12
1568115258.863110683,41,14
1568115259.251077524,41,14
1568115259.672043057,44,13
1568115260.173013197,39,14
1568115260.712051166,43,15
1568115261.278459071,45,15
1568115261.820477277,44,13
1568115262.352266575,43,10
1568115262.801626805,49,14
1568115263.257622471,48,14
1568115263.749868362,47,14
1568115264.352070646,51,15
1568115264.852822657,54,17
1568115265.309680199,54,17
1568115265.762451311,49,16
1568115266.274865862,53,17
1568115266.794869143,52,17
1568115267.274517381,57,18
1568115267.712797149,58,18
1568115268.203868433,54,17
1568115268.658628001,56,14
1568115269.128678570,55,15
1568115269.565257986,51,15
1568115270.018766091,52,15
1568115270.499970266,47,16
1568115270.937999074,44,13
1568115271.348868733,49,17
1568115271.728093494,43,17
1568115272.128083938,44,17
1568115272.558811768,44,18
1568115272.954898468,44,17
1568115273.464806456,46,16
1568115274.034188696,44,14
1568115274.579298372,45,16
1568115275.049251963,42,16
1568115275.531273016,45,18
1568115276.140464683,44,19
1568115276.731153578,47,19
1568115277.233690260,45,17
1568115277.694782025,46,16
1568115278.109805923,45,16
1568115278.524112537,46,16
1568115278.921924827,41,16
1568115279.313273778,40,14
1568115279.679226804,39,14
1568115280.069903253,41,14
1568115280.484546234,42,15
1568115280.959174018,40,17
1568115281.407174922,38,17
1568115281.849224044,36,14
1568115282.212340172,37,15
1568115282.570431442,32,11
1568115282.954284456,39,13
1568115283.361782076,40,14
1568115283.808802882,36,14
1568115284.189907023,36,14
1568115284.564402623,34,13
1568115284.975640122,31,12
1568115285.361507102,35,13
1568115285.758347887,36,13
1568115286.201295060,34,10
1568115286.720863229,37,12
1568115287.318127881,39,8
1568115287.885499024,36,12
1568115288.347782655,40,15
1568115288.838276492,39,15
1568115289.263693497,42,16
1568115289.707280626,40,15
1568115290.237267368,40,15
1568115290.801601378,41,16
1568115291.426610072,44,16
1568115292.184009264,38,16
1568115292.856779072,41,15
1568115293.514786284,41,16
1568115294.019598875,44,14
1568115294.479907812,46,13
1568115294.985173149,43,14
1568115295.574123570,43,14
1568115296.135295490,44,15
1568115296.690399554,49,16
1568115297.199180134,48,15
1568115297.838725102,50,13
1568115298.532493973,53,16
1568115299.127294843,56,16
1568115299.687171292,54,16
1568115300.184283087,45,12
1568115300.653946903,54,12
1568115301.232595532,49,12
1568115301.818564255,50,12
1568115302.614670272,45,12
1568115303.372424714,46,14
1568115304.010542175,45,16
1568115304.637300402,40,14
1568115305.164553871,39,15
1568115305.640237950,45,15
1568115306.063512783,41,15
1568115306.502357375,40,17
1568115306.913283038,42,16
1568115307.282918474,44,16
1568115307.680208799,40,14
1568115308.113492386,39,14
1568115308.576949833,40,15
1568115309.039932143,39,15
1568115309.630162971,40,16
1568115310.289374455,43,17
1568115311.342604846,40,16
1568115312.161243442,46,15
1568115312.933469149,45,14
1568115313.592006084,43,15
1568115314.303183951,47,14
1568115315.110505683,44,14
1568115316.583224936,44,14
1568115317.635973809,45,14
1568115318.476684690,38,12
1568115319.199004358,38,12
1568115319.864670897,40,12
1568115320.669518301,43,13
1568115321.752624672,37,13
1568115323.010921324,42,13
1568115323.968193734,46,14
1568115324.791417200,48,15
1568115325.516741921,52,15
1568115326.173522809,51,14
1568115326.798973594,49,14
1568115327.415651494,45,14
1568115328.097024896,43,14
1568115329.142566638,41,11
1568115330.105249207,46,10
1568115331.037944735,39,10
1568115331.751529999,50,10
1568115332.624004024,45,11
1568115333.412248708,44,9
1568115334.094116424,46,8
1568115334.832747697,43,11
1568115335.629607755,48,10
1568115337.095057827,44,11
1568115338.062049668,48,14
1568115338.822769030,41,12
1568115339.541470567,39,12
1568115340.129779490,38,12
1568115340.682071846,43,12
1568115341.210830094,41,12
1568115341.803618599,45,13
1568115342.403282594,52,14
1568115343.300735249,51,14
1568115344.347424871,51,15
1568115345.320200733,52,16
1568115346.530835152,50,15
1568115347.441340266,53,15
1568115348.201664804,55,18
1568115349.019676502,61,16
1568115349.975189624,57,15
1568115350.788084403,58,16
1568115351.457540423,51,12
1568115352.143650469,55,12
1568115352.908697361,53,10
1568115353.617552550,53,9
1568115354.867380190,58,9
1568115355.894576121,60,8
1568115357.118957258,60,9
1568115358.021381261,63,10
1568115358.833172920,66,12
1568115359.597971132,71,17
1568115360.480803297,65,15
1568115361.269106007,72,15
1568115362.071778238,69,15
1568115362.994725508,63,16
1568115363.812433126,62,15
1568115364.646882780,58,14
1568115365.563066117,57,16
1568115366.320265860,50,14
1568115367.072920014,50,13
1568115367.898107900,52,14
1568115368.598443436,46,13
1568115369.338195250,44,12
1568115370.128932297,42,12
1568115370.995963377,46,12
1568115371.782159274,40,12
1568115372.622693668,42,12
1568115373.410476757,44,13
1568115374.140950649,38,11
1568115374.774986424,44,10
