Duration,x,y,z,x,y,z,w
1568115188.461224000,14.7159,-1.55382,0.894917,0.00203992,0.00265862,0.73665,0.676265
1568115188.661593000,14.7171,-1.55243,0.890687,0.00246935,0.00266655,0.736501,0.676427
1568115188.861977000,14.7226,-1.55416,0.897457,0.00221108,0.00293376,0.736495,0.676433
1568115189.062316000,14.7197,-1.55784,0.900177,0.00258464,0.00223745,0.736502,0.676427
1568115189.262836000,14.718,-1.55695,0.893084,0.00186717,0.00296036,0.736524,0.676403
1568115189.463213000,14.719,-1.55581,0.894623,0.0026036,0.00235285,0.736533,0.676393
1568115189.663565000,14.7135,-1.55736,0.896969,0.00313444,0.00129312,0.736512,0.676416
1568115189.863988000,14.7143,-1.5568,0.896754,0.00227012,0.00268244,0.73655,0.676374
1568115190.064316000,14.7161,-1.55115,0.893979,0.0027083,0.00215201,0.736482,0.676448
1568115190.264762000,14.718,-1.55998,0.898541,0.0029321,0.00188529,0.736766,0.676139
1568115190.465134000,14.7159,-1.55801,0.899981,0.00265338,0.00227423,0.736575,0.676346
1568115190.665522000,14.7194,-1.55306,0.892323,0.00293312,0.00197999,0.736624,0.676293
1568115190.865960000,14.7153,-1.5527,0.899193,0.00335846,0.00147044,0.736433,0.676501
1568115191.066344000,14.7214,-1.55304,0.898547,0.00230296,0.00271488,0.7364,0.676537
1568115191.266725000,14.7158,-1.55765,0.895018,0.0024554,0.00221886,0.736469,0.676464
1568115191.467102000,14.7162,-1.55542,0.89049,0.00256337,0.0019492,0.73645,0.676484
1568115191.667521000,14.72,-1.55909,0.895838,0.00225226,0.00232525,0.736577,0.676346
1568115191.868026000,14.7194,-1.55727,0.898386,0.00276615,0.00230133,0.736627,0.676289
1568115192.068258000,14.7189,-1.55205,0.894119,0.00287454,0.00153776,0.736582,0.67634
1568115192.268702000,14.7185,-1.5515,0.891034,0.00244352,0.00261462,0.736495,0.676434
1568115192.469153000,14.7136,-1.55296,0.897288,0.00356105,0.000715357,0.736437,0.676496
1568115192.669557000,14.7135,-1.55341,0.896295,0.00274645,0.0021214,0.736561,0.676363
1568115192.869905000,14.7216,-1.55407,0.902725,0.00292526,0.00192082,0.736273,0.676675
1568115193.070231000,14.7191,-1.55821,0.899671,0.00258153,0.00214066,0.736496,0.676434
1568115193.270699000,14.7213,-1.55538,0.89702,0.0031099,0.00170575,0.736579,0.676342
1568115193.471082000,14.7188,-1.55653,0.895496,0.0028964,0.00192512,0.735766,0.677227
1568115193.671486000,14.719,-1.55653,0.898996,0.0030387,0.00159067,0.736144,0.676817
1568115193.871850000,14.7262,-1.55245,0.895424,0.00337537,0.00171147,0.736584,0.676336
1568115194.072271000,14.7253,-1.55407,0.897161,0.00306766,0.00209915,0.736651,0.676263
1568115194.272664000,14.7206,-1.55632,0.899356,0.00276708,0.00184548,0.736485,0.676445
1568115194.473032000,14.7173,-1.55271,0.900249,0.00312,0.00144751,0.736419,0.676517
1568115194.673442000,14.7157,-1.55496,0.900019,0.00287773,0.00197827,0.736538,0.676387
1568115194.873824000,14.719,-1.55487,0.902325,0.00193402,0.00308568,0.736416,0.676519
1568115195.074178000,14.7124,-1.55869,0.897738,0.00241688,0.00260565,0.73631,0.676635
1568115195.274664000,14.709,-1.55414,0.898059,0.00284701,0.00208466,0.736507,0.676421
1568115195.475029000,14.7186,-1.55407,0.895787,0.00271784,0.00208903,0.736382,0.676557
1568115195.675436000,14.7198,-1.54933,0.892801,0.00288968,0.00157683,0.736589,0.676333
1568115195.875793000,14.7168,-1.55418,0.897859,0.00237315,0.00264611,0.736704,0.676206
1568115196.076275000,14.7152,-1.55476,0.896921,0.00290627,0.00186487,0.736558,0.676365
1568115196.276636000,14.714,-1.55427,0.90454,0.00273728,0.00178573,0.736551,0.676374
1568115196.477071000,14.7274,-1.55293,0.897223,0.00275969,0.00160654,0.736748,0.67616
1568115196.677525000,14.7265,-1.55517,0.8978,0.00233754,0.00265684,0.736679,0.676233
1568115196.877936000,14.7214,-1.5543,0.891647,0.00253504,0.00237142,0.736442,0.676492
